"";"page";"density";"ncontributors";"nanon";"nedits";"transitivity";"nadmins";"nbots";"centralization";"mean_betweenness_admin";"mean_degree_centrality_admins";"mean_betweenness";"mean_degree_centrality";"sd_betweenness";"sd_degree_centrality";"sd_betweenness_admin";"sd_degree_centrality_admins";"iscontroversial";"isfeatured";"istalk_page"
"11";"Alice_in_Wonder_Underground";"0.25";"8";"0";"14";"0.346153846153846";"0";"3";"0.530612244897959";"NaN";"NaN";"0.857142857142857";"2.85714285714286";"1.4638501094228";"3.23669437485075";NA;NA;"0";"0";1
"12";"Anne_Svingheim";"0.238095238095238";"7";"0";"10";"0.2";"0";"2";"0.305555555555556";"NaN";"NaN";"0.166666666666667";"2.33333333333333";"0.258198889747161";"1.03279555898864";NA;NA;"0";"0";1
"13";"Ant_farm_(disambiguation)";"0.102564102564103";"13";"2";"16";"0.258620689655172";"0";"2";"0.340277777777778";"NaN";"NaN";"0.166666666666667";"1.83333333333333";"0.389249472080761";"0.834847109936722";NA;NA;"0";"0";0
"14";"Bawa_Mumuni";"0.104615384615385";"26";"6";"68";"0.280788177339901";"3";"8";"0.536";"0.0606060606060606";"4.66666666666667";"2.4";"4.24";"9.21350267969722";"5.88274312431426";"0.0524863881081478";"1.15470053837925";"0";"0";1
"15";"Brushgrove,_New_South_Wales";"0.185897435897436";"13";"0";"29";"0.272727272727273";"2";"1";"0.430555555555556";"0";"1.5";"0.5";"3.75";"1.53412364349662";"3.72033722811644";"0";"0.707106781186548";"0";"0";1
"16";"Calodendrum_capense";"0.116959064327485";"19";"2";"40";"0.336448598130841";"5";"2";"0.345679012345679";"0.28";"3.8";"0.555555555555556";"3.55555555555556";"1.38719635433856";"2.30656919209212";"0.311448230047949";"1.78885438199983";"0";"0";1
"17";"Carrack_Gladden";"0.0992647058823529";"17";"1";"27";"0.234042553191489";"2";"4";"0.359375";"1";"2.5";"0.875";"2.5";"1.62788205960997";"1.63299316185545";"0";"0.707106781186548";"0";"0";1
"18";"Charles_Emilius_Gold";"0.233333333333333";"6";"0";"7";"0.428571428571429";"1";"1";"0.2";"0";"2";"0.2";"2";"0.447213595499958";"1.22474487139159";NA;NA;"0";"0";1
"19";"Chekchek,_Iran";"0.833333333333333";"3";"0";"5";"1";"1";"1";"0.625";"0";"5";"0";"3.5";"0";"2.12132034355964";NA;NA;"0";"0";0
"20";"Clifton_High_School";"0.173076923076923";"13";"2";"27";"0.428571428571429";"0";"0";"0.354166666666667";"NaN";"NaN";"0.916666666666667";"3.5";"1.78164037455442";"1.62368828177198";NA;NA;"0";"0";1
"21";"Collingwood_Children's_Farm";"0.0439024390243902";"41";"12";"72";"0.122743682310469";"7";"4";"0.4675";"0";"2";"0.525";"2.6";"1.08574681848309";"1.69160824706504";"0";"1.15470053837925";"0";"0";1
"22";"Comte_AC-8";"0.214285714285714";"8";"0";"12";"0.486486486486487";"3";"2";"0.326530612244898";"0";"1.33333333333333";"0.285714285714286";"2.42857142857143";"0.755928946018454";"1.13389341902768";"0";"0.577350269189626";"0";"0";1
"23";"Cops_L.A.C.";"0.0445964432284542";"86";"45";"326";"0.141620284477427";"9";"5";"0.698823529411765";"20.9953768453768";"3.77777777777778";"52.7058823529412";"6.4";"209.61239842014";"14.4841456838322";"42.3742186435189";"3.76755151848577";"0";"0";1
"24";"Dalaca_perkeo";"0.3";"6";"0";"9";"0.545454545454545";"0";"0";"0.24";"NaN";"NaN";"0";"2.6";"0";"0.894427190999916";NA;NA;"0";"0";1
"25";"David_Grubin";"0.0504032258064516";"32";"11";"50";"0.100515463917526";"2";"4";"0.464099895941727";"0";"1.5";"0.258064516129032";"2.2258064516129";"0.514311315287014";"1.92716851744305";"0";"0.707106781186548";"0";"0";1
"26";"David_Pearce_(athlete)";"0.333333333333333";"4";"0";"4";"0.6";"0";"0";"0.222222222222222";"NaN";"NaN";"0";"1.66666666666667";"0";"0.577350269189626";NA;NA;"0";"0";1
